Mongo Object Id,Database Name,collection name,Upsert time
"""635232752e9ae06c351244a4""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232762e9ae06c351244a5""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232772e9ae06c351244a6""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232772e9ae06c351244a7""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232782e9ae06c351244a8""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232792e9ae06c351244a9""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352327a2e9ae06c351244aa""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352327b2e9ae06c351244ab""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352327c2e9ae06c351244ac""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""6352327c2e9ae06c351244ad""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352327d2e9ae06c351244ae""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352327e2e9ae06c351244af""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""6352327f2e9ae06c351244b0""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232802e9ae06c351244b1""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232802e9ae06c351244b2""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232812e9ae06c351244b3""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232822e9ae06c351244b4""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232832e9ae06c351244b5""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232842e9ae06c351244b6""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232842e9ae06c351244b7""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232842e9ae06c351244b8""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232852e9ae06c351244b9""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232862e9ae06c351244ba""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232872e9ae06c351244bb""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232882e9ae06c351244bc""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232892e9ae06c351244bd""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""635232892e9ae06c351244be""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352328a2e9ae06c351244bf""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352328b2e9ae06c351244c0""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352328c2e9ae06c351244c1""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""6352328d2e9ae06c351244c2""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352328e2e9ae06c351244c3""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""6352328f2e9ae06c351244c4""",NSE-ONGC-EQ,2022-10-21,107:22:17 AM
"""6352328f2e9ae06c351244c5""",NSE-SBIN-EQ,2022-10-21,107:22:17 AM
"""635232902e9ae06c351244c6""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232912e9ae06c351244c7""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232912e9ae06c351244c8""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232932e9ae06c351244c9""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232932e9ae06c351244ca""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232942e9ae06c351244cb""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232942e9ae06c351244cc""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232952e9ae06c351244cd""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232962e9ae06c351244ce""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232962e9ae06c351244cf""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232972e9ae06c351244d0""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232982e9ae06c351244d1""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232992e9ae06c351244d2""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329a2e9ae06c351244d3""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329b2e9ae06c351244d4""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""6352329b2e9ae06c351244d5""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329b2e9ae06c351244d6""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329c2e9ae06c351244d7""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329d2e9ae06c351244d8""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
